std_a_	std_yawdd_	std_laspx_	std_laspy_	std_radr_	std_radphi_	std_radrd_	1rmse_px	1rmse_py	1rmse_vx	1rmse_vy	1nis_total	1nis_lidar	1nis_radar	2rmse_px	2rmse_py	2rmse_vx	2rmse_vy	2nis_total	2nis_lidar	2nis_radar	
0.15	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.185576	0.189752	0.531834	0.422837	75.5	78	73	0.0879525	0.0897126	0.626117	0.597787	75.8987	63.3987	88.3987	
0.19	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.186933	0.189499	0.52067	0.407531	76.5	80	73	0.0884631	0.0880395	0.627283	0.59722	76.0621	63.5621	88.5621	
0.2	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.187351	0.191362	0.434998	0.464955	77	80	74	0.0885298	0.0877099	0.627474	0.597122	76.2255	63.7255	88.7255	
0.21	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.187785	0.191345	0.415503	0.452951	77.5	80	75	0.0885792	0.0874078	0.627633	0.597036	76.3889	64.0523	88.7255	
0.22	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.188823	0.190132	0.387887	0.397887	79.5	83	76	0.0886138	0.0871301	0.627762	0.596961	76.3889	64.0523	88.7255	
0.23	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.189462	0.190325	0.376346	0.410261	79.5	82	77	0.0886359	0.0868742	0.627865	0.596895	76.634	64.0523	89.2157	
0.24	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.190043	0.191016	0.366337	0.427326	76.5	80	73	0.0886471	0.0866379	0.627943	0.596836	76.634	64.0523	89.2157	
0.25	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.19029	0.190362	0.350306	0.407912	79	82	76	0.0886491	0.0864192	0.627999	0.596785	76.634	64.2157	89.0523	
0.26	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.190431	0.190416	0.342585	0.411332	77.5	80	75	0.0886431	0.0862162	0.628035	0.596739	76.5523	64.2157	88.8889	
0.27	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.190623	0.191237	0.352538	0.448783	77.5	80	75	0.0886304	0.0860275	0.628053	0.596698	76.5523	64.2157	88.8889	
0.28	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.191135	0.191802	0.36211	0.483337	77.5	80	75	0.0886118	0.0858519	0.628054	0.596662	76.5523	64.2157	88.8889	
0.29	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.191609	0.191602	0.357564	0.480524	77	80	74	0.0885881	0.0856882	0.62804	0.596629	76.7974	64.5425	89.0523	
0.3	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.192011	0.19093	0.344567	0.4342	77.5	81	74	0.0885602	0.0855354	0.628011	0.5966	76.8791	64.5425	89.2157	
0.31	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.192976	0.190126	0.326318	0.393378	79.5	83	76	0.0885285	0.0853926	0.62797	0.596574	76.9608	64.5425	89.3791	
0.32	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.193325	0.190174	0.328686	0.390592	79	82	76	0.0884937	0.0852591	0.627916	0.59655	77.2876	64.8693	89.7059	
0.33	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.193367	0.190331	0.336206	0.397817	79	82	76	0.0884561	0.0851342	0.627851	0.596528	77.3693	64.7059	90.0327	
0.34	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.193407	0.190683	0.348077	0.415818	78.5	81	76	0.0884162	0.0850173	0.627776	0.596509	77.5327	64.8693	90.1961	
0.35	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.193874	0.19139	0.370986	0.462283	78	81	75	0.0883744	0.0849078	0.627691	0.596491	77.3693	64.7059	90.0327	
0.36	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.194251	0.191835	0.379733	0.49083	77	80	74	0.0883309	0.0848052	0.627597	0.596475	77.5327	64.7059	90.3595	
0.37	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.194399	0.191438	0.376696	0.469457	78	81	75	0.088286	0.0847092	0.627496	0.59646	77.5327	64.7059	90.3595	
0.38	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.19515	0.190638	0.376562	0.421438	78.5	79	78	0.08824	0.0846193	0.627386	0.596446	77.451	64.7059	90.1961	
0.39	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.194322	0.191306	0.435307	0.440707	78	80	76	0.0881931	0.0845353	0.627269	0.596434	77.2876	64.3791	90.1961	
0.44	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.196254	0.190996	0.436408	0.438354	77	78	76	0.0879506	0.0841914	0.626594	0.596388	76.7157	63.8889	89.5425	
0.45	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.196377	0.191327	0.448169	0.469807	77.5	79	76	0.0879015	0.0841362	0.626443	0.596381	76.7157	63.8889	89.5425	
0.46	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.196767	0.191819	0.478095	0.514018	77	79	75	0.0878525	0.0840851	0.626288	0.596375	76.7157	63.8889	89.5425	
0.47	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.196946	0.191437	0.476949	0.485549	77.5	80	75	0.0878035	0.0840378	0.626129	0.596371	76.7157	63.8889	89.5425	
0.48	0.3	0.0825	0.0825	0.25	0.0125	0.25	0.197056	0.191141	0.479518	0.455013	78.5	81	76	0.0877548	0.0839941	0.625966	0.596367	76.7974	63.8889	89.7059	
